symbol_name,symbol_id,prefix,pdf_page,reference_number,match_count,match_status,matched_assets
SY(SAFCON01),SAFCON01,SY,230,529,0,not_in_standard_source_table,
SY(SAFCON02),SAFCON02,SY,231,530,0,not_in_standard_source_table,
SY(SAFCON03),SAFCON03,SY,232,531,0,not_in_standard_source_table,
SY(SAFCON04),SAFCON04,SY,233,532,0,not_in_standard_source_table,
SY(SAFCON05),SAFCON05,SY,234,533,0,not_in_standard_source_table,
SY(SAFCON06),SAFCON06,SY,235,534,0,not_in_standard_source_table,
SY(SAFCON07),SAFCON07,SY,236,535,0,not_in_standard_source_table,
SY(SAFCON08),SAFCON08,SY,237,536,0,not_in_standard_source_table,
SY(SAFCON09),SAFCON09,SY,238,537,0,not_in_standard_source_table,
SY(SAFCON10),SAFCON10,SY,239,538,0,not_in_standard_source_table,
SY(SAFCON11),SAFCON11,SY,240,539,0,not_in_standard_source_table,
SY(SAFCON12),SAFCON12,SY,241,540,0,not_in_standard_source_table,
SY(SAFCON13),SAFCON13,SY,242,541,0,not_in_standard_source_table,
SY(SAFCON14),SAFCON14,SY,243,542,0,not_in_standard_source_table,
SY(SAFCON15),SAFCON15,SY,244,543,0,not_in_standard_source_table,
SY(SAFCON16),SAFCON16,SY,245,544,0,not_in_standard_source_table,
SY(SAFCON17),SAFCON17,SY,246,545,0,not_in_standard_source_table,
SY(SAFCON18),SAFCON18,SY,247,546,0,not_in_standard_source_table,
SY(SAFCON19),SAFCON19,SY,248,547,0,not_in_standard_source_table,
SY(SAFCON20),SAFCON20,SY,249,548,0,not_in_standard_source_table,
SY(SAFCON21),SAFCON21,SY,250,549,0,not_in_standard_source_table,
SY(SAFCON22),SAFCON22,SY,251,550,0,not_in_standard_source_table,
SY(SAFCON23),SAFCON23,SY,252,551,0,not_in_standard_source_table,
SY(SAFCON24),SAFCON24,SY,253,552,0,not_in_standard_source_table,
SY(SAFCON25),SAFCON25,SY,254,553,0,not_in_standard_source_table,
SY(SAFCON26),SAFCON26,SY,255,554,0,not_in_standard_source_table,
SY(SAFCON27),SAFCON27,SY,256,555,0,not_in_standard_source_table,
SY(SAFCON28),SAFCON28,SY,257,556,0,not_in_standard_source_table,
SY(SAFCON29),SAFCON29,SY,258,557,0,not_in_standard_source_table,
SY(SAFCON50),SAFCON50,SY,259,558,0,not_in_standard_source_table,
SY(SAFCON51),SAFCON51,SY,260,559,0,not_in_standard_source_table,
SY(SAFCON52),SAFCON52,SY,261,560,0,not_in_standard_source_table,
SY(SAFCON53),SAFCON53,SY,262,561,0,not_in_standard_source_table,
SY(SAFCON54),SAFCON54,SY,263,562,0,not_in_standard_source_table,
SY(SAFCON55),SAFCON55,SY,264,563,0,not_in_standard_source_table,
SY(SAFCON56),SAFCON56,SY,265,564,0,not_in_standard_source_table,
SY(SAFCON57),SAFCON57,SY,266,565,0,not_in_standard_source_table,
SY(SAFCON58),SAFCON58,SY,267,566,0,not_in_standard_source_table,
SY(SAFCON59),SAFCON59,SY,268,567,0,not_in_standard_source_table,
SY(SAFCON60),SAFCON60,SY,269,568,0,not_in_standard_source_table,
SY(SAFCON61),SAFCON61,SY,270,569,0,not_in_standard_source_table,
SY(SAFCON62),SAFCON62,SY,271,570,0,not_in_standard_source_table,
SY(SAFCON63),SAFCON63,SY,272,571,0,not_in_standard_source_table,
SY(SAFCON64),SAFCON64,SY,273,572,0,not_in_standard_source_table,
SY(SAFCON65),SAFCON65,SY,274,573,0,not_in_standard_source_table,
SY(SAFCON66),SAFCON66,SY,275,574,0,not_in_standard_source_table,
SY(SAFCON67),SAFCON67,SY,276,575,0,not_in_standard_source_table,
SY(SAFCON68),SAFCON68,SY,277,576,0,not_in_standard_source_table,
SY(SAFCON69),SAFCON69,SY,278,577,0,not_in_standard_source_table,
SY(SCALEB10),SCALEB10,SY,279,229,1,matched_standard_source_table_asset,SCALEB10
SY(SCALEB11),SCALEB11,SY,280,230,1,matched_standard_source_table_asset,SCALEB11
SY(SILBUI01),SILBUI01,SY,281,231,1,matched_standard_source_table_asset,SILBUI01
SY(SILBUI11),SILBUI11,SY,282,232,1,matched_standard_source_table_asset,SILBUI11
SY(SISTAT02),SISTAT02,SY,283,233,1,matched_standard_source_table_asset,SISTAT02
SY(SMCFAC02),SMCFAC02,SY,284,234,1,matched_standard_source_table_asset,SMCFAC02
SY(SNDWAV02),SNDWAV02,SY,285,235,1,matched_standard_source_table_asset,SNDWAV02
SY(SOUNDG00),SOUNDG00,SY,286,236,0,not_in_standard_source_table,
SY(SOUNDG01),SOUNDG01,SY,287,237,0,not_in_standard_source_table,
SY(SOUNDG02),SOUNDG02,SY,288,238,1,matched_standard_source_table_asset,SOUNDG02
SY(SOUNDG03),SOUNDG03,SY,289,239,0,not_in_standard_source_table,
SY(SOUNDG04),SOUNDG04,SY,290,240,0,not_in_standard_source_table,
SY(SOUNDG05),SOUNDG05,SY,291,241,0,not_in_standard_source_table,
SY(SOUNDG06),SOUNDG06,SY,292,242,0,not_in_standard_source_table,
SY(SOUNDG07),SOUNDG07,SY,293,243,0,not_in_standard_source_table,
SY(SOUNDG08),SOUNDG08,SY,294,244,0,not_in_standard_source_table,
SY(SOUNDG09),SOUNDG09,SY,295,245,0,not_in_standard_source_table,
SY(SOUNDG10),SOUNDG10,SY,296,246,0,not_in_standard_source_table,
SY(SOUNDG11),SOUNDG11,SY,297,247,0,not_in_standard_source_table,
SY(SOUNDG12),SOUNDG12,SY,298,248,0,not_in_standard_source_table,
SY(SOUNDG13),SOUNDG13,SY,299,249,0,not_in_standard_source_table,
SY(SOUNDG14),SOUNDG14,SY,300,250,0,not_in_standard_source_table,
SY(SOUNDG15),SOUNDG15,SY,301,251,0,not_in_standard_source_table,
SY(SOUNDG16),SOUNDG16,SY,302,252,0,not_in_standard_source_table,
SY(SOUNDG17),SOUNDG17,SY,303,253,0,not_in_standard_source_table,
SY(SOUNDG18),SOUNDG18,SY,304,254,0,not_in_standard_source_table,
SY(SOUNDG19),SOUNDG19,SY,305,255,0,not_in_standard_source_table,
SY(SOUNDG20),SOUNDG20,SY,306,256,0,not_in_standard_source_table,
SY(SOUNDG21),SOUNDG21,SY,307,257,0,not_in_standard_source_table,
